Epoch	Time(sec)	Loss_E	Loss_V	MAE_val(eV)	MAE_test(eV)
0	3.155092599999989	200.49998092651367	215.15662384033203	7.991232395172119,2.316169261932373	8.198518753051758,1.1972633600234985
1	3.660683699999936	198.02699279785156	211.49608612060547	7.976395606994629,2.3151235580444336	8.183547019958496,1.1968412399291992
2	4.056782200000043	199.63955307006836	220.8038444519043	7.961232662200928,2.31428861618042	8.168230056762695,1.196506142616272
3	4.441816300000028	192.79699325561523	198.76984786987305	7.945096969604492,2.31302547454834	8.1519136428833,1.195992112159729
4	4.905867599999965	197.72977447509766	193.37466430664062	7.927796840667725,2.3117594718933105	8.134367942810059,1.1954950094223022
5	5.282044499999984	186.20693016052246	185.94104766845703	7.909223556518555,2.310563802719116	8.115549087524414,1.1950346231460571
6	5.666731900000059	190.89838027954102	179.5678005218506	7.889656066894531,2.3091230392456055	8.095595359802246,1.19448721408844
7	6.050840300000118	199.8581657409668	179.40940475463867	7.868770599365234,2.3079257011413574	8.074092864990234,1.194017767906189
8	6.394350300000042	192.57651138305664	165.33705711364746	7.845935821533203,2.3066940307617188	8.050500869750977,1.1935161352157593
9	6.732137599999987	196.15557479858398	150.57023811340332	7.821200847625732,2.3051180839538574	8.02489185333252,1.1928569078445435
10	7.062992300000133	191.83423614501953	137.55384063720703	7.793859004974365,2.3042030334472656	7.996507167816162,1.1925045251846313
11	7.410913700000037	180.01454734802246	114.00092220306396	7.763891220092773,2.3024394512176514	7.965076446533203,1.1917908191680908
12	7.749005699999998	183.43450546264648	99.06332588195801	7.730687618255615,2.300222396850586	7.92989444732666,1.1908892393112183
13	8.065451800000119	186.5151824951172	84.49063777923584	7.692949295043945,2.29758358001709	7.889645576477051,1.1898249387741089
14	8.390881799999988	188.81226539611816	71.62710666656494	7.649336338043213,2.2933661937713623	7.843132019042969,1.1881407499313354
15	8.717081700000108	186.03424072265625	48.42824935913086	7.598827838897705,2.2882742881774902	7.789548397064209,1.1861034631729126
16	9.018716999999924	172.6418342590332	37.5226035118103	7.541077613830566,2.2825636863708496	7.727642059326172,1.1838334798812866
17	9.32224210000004	173.01375198364258	32.75111389160156	7.475041389465332,2.276439666748047	7.656630039215088,1.181388258934021
18	9.630403399999977	179.16479301452637	30.128779888153076	7.398618698120117,2.267462730407715	7.573996067047119,1.177826166152954
19	9.947029100000009	163.91472053527832	32.32509469985962	7.310068130493164,2.255495309829712	7.4776530265808105,1.1730742454528809
20	10.24735540000006	171.2175464630127	32.834495544433594	7.2075886726379395,2.240121364593506	7.365956783294678,1.1669588088989258
21	10.56417609999994	167.27680206298828	30.292874336242676	7.087183952331543,2.2215945720672607	7.235557556152344,1.159541368484497
22	10.879156100000046	153.511962890625	31.46742868423462	6.947517395019531,2.1981277465820312	7.083169460296631,1.1501604318618774
23	11.193751600000041	151.55349922180176	31.180636882781982	6.787787437438965,2.172245979309082	6.907667636871338,1.1398566961288452
24	11.512192099999993	149.20795822143555	29.406932830810547	6.604428291320801,2.1423439979553223	6.706192970275879,1.1279281377792358
25	11.823717100000067	128.58220100402832	31.44644546508789	6.394217014312744,2.104923963546753	6.475887298583984,1.1129742860794067
26	12.247747200000049	125.45109176635742	32.297260761260986	6.157570838928223,2.0630931854248047	6.2153544425964355,1.096248984336853
27	12.547641699999986	123.47927856445312	31.534732818603516	5.889024257659912,2.0209221839904785	5.9205522537231445,1.0793399810791016
28	12.86867099999995	103.06204986572266	32.48659801483154	5.585901737213135,1.9724578857421875	5.587986946105957,1.0599197149276733
29	13.167597699999988	92.27689170837402	30.595354080200195	5.251578330993652,1.921442985534668	5.220996379852295,1.039466381072998
30	13.47330460000012	86.10600566864014	30.556822776794434	4.883939743041992,1.8624593019485474	4.8142218589782715,1.0161278247833252
31	13.797881400000051	75.87884616851807	30.425987720489502	4.477904796600342,1.7968368530273438	4.363427639007568,0.9903335571289062
32	14.11428849999993	68.23050785064697	31.030548095703125	4.043127536773682,1.7894799709320068	3.8830273151397705,1.0075384378433228
33	14.412946899999952	60.82787895202637	30.70189905166626	3.5760860443115234,1.7825368642807007	3.368436574935913,1.0244156122207642
34	14.761262299999999	44.07577705383301	29.49847173690796	3.0731101036071777,1.7740230560302734	2.822209119796753,1.0412015914916992
35	15.066191600000138	39.489020347595215	30.771125316619873	2.563286781311035,1.7653887271881104	2.267443895339966,1.058032751083374
36	15.376166199999943	32.04401445388794	29.743287086486816	2.0449955463409424,1.7554396390914917	1.7093244791030884,1.075895071029663
37	15.74856920000002	23.038179636001587	32.78239297866821	1.5452390909194946,1.745684027671814	1.1748172044754028,1.1229560375213623
38	16.118145800000093	21.99110770225525	31.15056324005127	1.1112792491912842,1.7425248622894287	0.7078283429145813,1.1307014226913452
39	16.47446940000009	16.84477013349533	29.98670768737793	0.7812143564224243,1.7424770593643188	0.35340672731399536,1.11453378200531
40	16.815956899999946	27.766148805618286	30.943769454956055	0.8160518407821655,1.742954969406128	0.3025034964084625,1.0960479974746704
41	17.18606190000014	15.529231309890747	29.000930786132812	0.8416920900344849,1.7470173835754395	0.3981694281101227,1.0700666904449463
42	17.53970890000005	17.951160788536072	30.439029693603516	0.8546791076660156,1.7487404346466064	0.482759565114975,1.0631459951400757
43	17.89002370000003	15.507381200790405	29.497161865234375	0.8604552745819092,1.7520081996917725	0.5288392305374146,1.0526918172836304
44	18.228364499999998	16.64860725402832	30.209867477416992	0.8574001789093018,1.7542312145233154	0.5264539122581482,1.0454514026641846
