Epoch	Time(sec)	Loss_E	Loss_V	MAE_val(eV)	MAE_test(eV)
0	3.988985500000126	200.49998092651367	215.15662384033203	7.991232395172119,2.316169261932373	8.198518753051758,1.1972633600234985
1	4.529832899999747	198.02699279785156	211.49608612060547	7.976395606994629,2.3151235580444336	8.183547019958496,1.1968412399291992
2	4.9496777999993355	199.63955307006836	220.8038444519043	7.961232662200928,2.31428861618042	8.168230056762695,1.196506142616272
3	5.343579500000487	192.79699325561523	198.76984786987305	7.945096969604492,2.31302547454834	8.1519136428833,1.195992112159729
4	5.857557999999699	197.72977447509766	193.37466430664062	7.927796840667725,2.3117594718933105	8.134367942810059,1.1954950094223022
5	6.293972100000246	186.20693016052246	185.94104766845703	7.909223556518555,2.310563802719116	8.115549087524414,1.1950346231460571
6	6.72293019999961	190.89838027954102	179.5678005218506	7.889656066894531,2.3091230392456055	8.095595359802246,1.19448721408844
7	7.241116400000465	199.8581657409668	179.40940475463867	7.868770599365234,2.3079257011413574	8.074092864990234,1.194017767906189
8	7.723743300000933	192.57651138305664	165.33705711364746	7.845935821533203,2.3066940307617188	8.050500869750977,1.1935161352157593
9	8.148529500000222	196.15557479858398	150.57023811340332	7.821200847625732,2.3051180839538574	8.02489185333252,1.1928569078445435
10	8.665164800000639	191.83423614501953	137.55384063720703	7.793859004974365,2.3042030334472656	7.996507167816162,1.1925045251846313
11	9.117620299999544	180.01454734802246	114.00092220306396	7.763891220092773,2.3024394512176514	7.965076446533203,1.1917908191680908
12	9.514565699999366	183.43450546264648	99.06332588195801	7.730687618255615,2.300222396850586	7.92989444732666,1.1908892393112183
13	9.928298099999665	186.5151824951172	84.49063777923584	7.692949295043945,2.29758358001709	7.889645576477051,1.1898249387741089
14	10.36391309999999	188.81226539611816	71.62710666656494	7.649336338043213,2.2933661937713623	7.843132019042969,1.1881407499313354
15	10.853539400000955	186.03424072265625	48.42824935913086	7.598827838897705,2.2882742881774902	7.789548397064209,1.1861034631729126
16	11.303541499999483	172.6418342590332	37.5226035118103	7.541077613830566,2.2825636863708496	7.727642059326172,1.1838334798812866
17	11.694627200000468	173.01375198364258	32.75111389160156	7.475041389465332,2.276439666748047	7.656630039215088,1.181388258934021
18	12.135973099999319	179.16479301452637	30.128779888153076	7.398618698120117,2.267462730407715	7.573996067047119,1.177826166152954
19	12.490792300000976	163.91472053527832	32.32509469985962	7.310068130493164,2.255495309829712	7.4776530265808105,1.1730742454528809
20	12.872798399999738	171.2175464630127	32.834495544433594	7.2075886726379395,2.240121364593506	7.365956783294678,1.1669588088989258
21	13.273136600000726	167.27680206298828	30.292874336242676	7.087183952331543,2.2215945720672607	7.235557556152344,1.159541368484497
22	13.640002699999968	153.511962890625	31.46742868423462	6.947517395019531,2.1981277465820312	7.083169460296631,1.1501604318618774
23	14.075129999999263	151.55349922180176	31.180636882781982	6.787787437438965,2.172245979309082	6.907667636871338,1.1398566961288452
24	14.468387000000803	149.20795822143555	29.406932830810547	6.604428291320801,2.1423439979553223	6.706192970275879,1.1279281377792358
25	14.903273699999772	128.58220100402832	31.44644546508789	6.394217014312744,2.104923963546753	6.475887298583984,1.1129742860794067
26	15.370747900000424	125.45109176635742	32.297260761260986	6.157570838928223,2.0630931854248047	6.2153544425964355,1.096248984336853
27	15.781699999999546	123.47927856445312	31.534732818603516	5.889024257659912,2.0209221839904785	5.9205522537231445,1.0793399810791016
28	16.218051800000467	103.06204986572266	32.48659801483154	5.585901737213135,1.9724578857421875	5.587986946105957,1.0599197149276733
29	16.615511300000435	92.27689170837402	30.595354080200195	5.251578330993652,1.921442985534668	5.220996379852295,1.039466381072998
30	17.01176090000081	86.10600566864014	30.556822776794434	4.883939743041992,1.8624593019485474	4.8142218589782715,1.0161278247833252
31	17.447787799999787	75.87884616851807	30.425987720489502	4.477904796600342,1.7968368530273438	4.363427639007568,0.9903335571289062
32	17.89850420000039	68.23050785064697	31.030548095703125	4.043127536773682,1.7894799709320068	3.8830273151397705,1.0075384378433228
33	18.35406030000013	60.82787895202637	30.70189905166626	3.5760860443115234,1.7825368642807007	3.368436574935913,1.0244156122207642
